GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0092,"15_1_0,9_3_0,9_2_0,12_2_0,4_3_0,11_1_0,11_0_0","22_1_0,11_3_0,11_2_0,12_4_0,7_3_0,9_1_0,9_0_0",22,546729707,0.399,0.128,0.202,0.270,0,0.626956,0.963520,3.988307,0.398948,2.748134,6.474374,1.000000,6.680776
0094,"18_0_0,17_0_0,11_1_0,4_0_0","14_0_0,17_5_0,9_1_0,7_0_0",24,877805993,0.295,0.198,0.207,0.300,0,0.721432,874.673146,2423.335211,232.765318,182.947599,1589.850331,1.000000,4.698342
0095,"18_0_0,24_0_0,1_0_0,11_0_0","14_0_0,20_0_0,2_0_0,9_0_0",24,800686995,0.453,0.143,0.174,0.230,0,1.588116,0.205410,1.087620,0.870679,1.151518,6.462347,1.000000,1.935817
0096,"4_0_0,14_0_0","7_0_0,18_0_0",20,543656493,0.340,0.248,0.220,0.192,0,0.559910,0.988061,12.767395,2.048557,1.278967,6.886796,1.000000,0.749677
0097,"1_0_0,9_0_0","2_0_0,11_0_0",20,493877422,0.223,0.212,0.182,0.383,0,0.598531,94.780093,517.129022,166.870021,0.000100,132.477350,1.000000,0.813927
0098,"18_2_0,18_0_0,2_1_0,1_0_0","14_2_0,14_0_0,1_1_0,2_0_0",20,918090900,0.405,0.181,0.113,0.300,0,0.250827,6.595561,7.592565,0.307170,7.169883,9.765481,1.000000,1.628388
0099,"11_0_0,11_0_0","9_0_0,21_0_0",25,301966828,0.363,0.097,0.217,0.323,0,1.061036,3.148417,6.213766,1.979695,2.213953,8.574415,1.000000,1.794772
0100,"18_0_0,24_0_0,21_0_0,21_0_0,4_0_0","14_0_0,20_0_0,11_0_0,9_0_0,7_0_0",25,650500721,0.437,0.087,0.333,0.142,0,5.489269,2.708848,1.212621,1.466469,1.160009,2.021029,1.000000,5.471028
0101,"24_2_0,1_0_0,20_1_0","24_0_0,2_0_0,20_0_0",23,667206490,0.221,0.197,0.192,0.390,0,0.896659,4.511966,9.577749,0.245333,3.101555,10.432049,1.000000,1.552956
0102,"NA","NA",19,382220314,0.197,0.220,0.355,0.228,0,0.224461,192.507502,252.095282,141.391567,24.115858,356.690486,1.000000,1.099204
0103,"11_0_0","9_0_0",23,977512842,0.287,0.170,0.152,0.392,0,0.694543,2.291598,3.460820,0.000100,1.263508,2.614579,1.000000,1.178046
0104,"1_0_0,11_0_0","2_0_0,9_0_0",24,901110633,0.298,0.182,0.205,0.315,0,0.887771,1.704493,8.435560,1.089896,2.574469,8.762995,1.000000,3.218622
0105,"4_0_0,2_0_0,11_0_0","7_0_0,1_0_0,9_0_0",25,545404238,0.368,0.187,0.251,0.194,0,0.771400,0.834045,2.170039,1.004914,1.953536,5.148703,1.000000,0.671529
0106,"23_0_0,24_0_0,24_0_0,11_1_0,11_0_0","17_0_0,20_0_0,24_3_0,9_1_0,9_0_0",20,782093842,0.446,0.159,0.258,0.137,0,0.873389,0.749168,1.154402,0.863696,0.000100,7.280468,1.000000,1.782325
0107,"14_0_0","18_0_0",25,933446953,0.335,0.212,0.169,0.283,0,1.256907,5.392727,8.783032,5.217017,0.952955,17.478643,1.000000,0.373564
