GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0384,"18_0_0,2_1_0,11_0_0,1_0_0","14_0_0,1_1_0,9_0_0,2_0_0",21,618624871,0.425,0.197,0.205,0.174,0,0.661650,6.005731,4.353655,2.748760,26.041051,31.898227,1.000000,2.678456
0385,"18_0_0,2_1_0,4_0_0,11_0_0,11_0_0","14_0_0,1_1_0,7_0_0,9_0_0,21_0_0",24,566194974,0.304,0.237,0.145,0.314,0,0.562896,1.265652,2.333446,0.287719,1.737517,7.159558,1.000000,1.296416
0386,"18_0_0,11_0_0","14_0_0,9_0_0",21,551409656,0.400,0.204,0.142,0.255,0,0.643182,0.252866,4.206975,0.156033,7.904209,3.625570,1.000000,1.500674
0387,"23_0_0,18_0_0,21_0_0,21_0_0,4_0_0","17_0_0,14_0_0,11_0_0,9_0_0,7_0_0",25,600039873,0.306,0.186,0.184,0.325,0,0.731753,0.631129,1.481679,0.808903,1.384299,1.914220,1.000000,1.078310
0388,"1_0_0,11_0_0","2_0_0,9_0_0",17,763449569,0.315,0.178,0.168,0.339,0,0.324964,2117.703341,8727.030475,1525.351758,8212.514520,4919.372914,1.000000,1.268277
0389,"2_1_0,11_0_0,4_0_0","1_1_0,9_0_0,7_0_0",23,945198260,0.277,0.083,0.314,0.326,0,0.999135,19.488344,24.270196,8.094924,17.826099,44.285330,1.000000,2.574659
0391,"1_0_0","2_0_0",24,30167227,0.380,0.193,0.263,0.165,0,1.546408,942.894981,2071.070281,614.565562,1526.162865,3165.641070,1.000000,0.732746
0392,"14_0_0,2_0_0","18_0_0,1_0_0",22,938632063,0.363,0.192,0.219,0.227,0,0.276138,2343.281729,1543.863758,0.000100,128.580990,3812.703632,1.000000,2.287930
0393,"18_0_0,18_0_0,2_1_0,1_0_0","20_0_0,14_0_0,1_1_0,2_0_0",23,717360287,0.400,0.061,0.197,0.342,0,2.754057,1096.154693,1251.716916,38.596469,2002.208809,2308.509209,1.000000,0.901537
0394,"18_0_0,1_0_0,11_0_0,4_0_0","14_0_0,2_0_0,9_0_0,7_0_0",25,166433652,0.364,0.194,0.148,0.293,0,1.045109,5420.222820,15763.672098,467.275371,4210.813895,12052.890979,1.000000,2.218763
0395,"15_1_0,24_1_0,23_0_0,24_9_0,5_6_0,15_0_0,1_0_0,11_0_0,11_1_0,18_9_0,14_1_0","22_1_0,20_1_0,17_0_0,20_9_0,5_5_0,22_0_0,2_0_0,9_0_0,9_1_0,14_9_0,18_1_0",20,39409672,0.452,0.132,0.208,0.207,0,0.429904,1773.685365,5108.065101,1314.162900,10523.613562,12449.181378,1.000000,8.480315
0396,"11_0_0","9_0_0",24,350978349,0.247,0.296,0.113,0.344,0,0.848167,2.382463,7.338229,0.000100,0.353265,1.754613,1.000000,1.355156
0397,"18_0_0,11_0_0","14_0_0,9_0_0",23,906182444,0.207,0.187,0.347,0.260,0,0.635998,17.958081,19.444374,1.003323,0.117509,38.179682,1.000000,3.073412
0398,"19_0_0,11_0_0","15_0_0,9_0_0",22,584794193,0.280,0.263,0.090,0.367,0,0.703003,7.140932,13.867401,0.000100,11.722776,7.871214,1.000000,0.978809
0399,"21_0_0,21_0_0","9_0_0,11_0_0",24,469053158,0.233,0.200,0.247,0.320,0,0.932852,124.915334,143.810373,36.798136,81.084093,151.205428,1.000000,1.114501
0400,"NA","NA",22,624753092,0.214,0.140,0.308,0.338,0,0.693820,0.000100,267.291506,97.207626,80.433634,191.043414,1.000000,0.811145
0401,"5_0_0,11_1_0","5_3_0,9_1_0",23,682880980,0.381,0.201,0.195,0.223,0,0.694905,1.435014,4.855155,0.943537,1.755183,4.899328,1.000000,2.006582
0402,"19_0_0,11_0_0","15_0_0,9_0_0",24,765423678,0.365,0.082,0.252,0.301,0,1.593990,2.036097,2.405796,0.000100,1.261124,13.044190,1.000000,0.980090
0403,"18_0_0,1_0_0,11_0_0,4_0_0","14_0_0,2_0_0,9_0_0,7_0_0",24,928637184,0.325,0.128,0.306,0.242,0,0.802687,2.949834,1.799186,0.047122,0.146119,4.860000,1.000000,1.303113
0404,"1_0_0,14_0_0,4_0_0","2_0_0,18_0_0,7_0_0",21,910841412,0.368,0.101,0.198,0.333,0,0.405235,12.162131,10.785146,2.068045,28.615743,31.244543,1.000000,2.195113
0405,"18_0_0,11_0_0","14_0_0,9_0_0",25,551629020,0.274,0.306,0.136,0.285,0,1.633773,7.909116,23.664963,6.548040,11.172948,13.303852,1.000000,1.519652
0406,"18_0_0,4_0_0,11_0_0","14_0_0,7_0_0,9_0_0",24,555078119,0.195,0.263,0.314,0.228,0,1.374607,0.098126,15.072107,3.877977,2.942281,9.480621,1.000000,1.149381
0407,"11_0_0","9_0_0",19,541973658,0.283,0.225,0.105,0.387,0,0.331228,3642.171195,9148.004560,566.390978,10936.329892,5502.150833,1.000000,2.356064
0408,"15_0_0,18_0_0,18_3_0,18_3_0,1_0_0","22_0_0,14_0_0,14_3_0,20_3_0,2_0_0",21,56125554,0.319,0.190,0.199,0.292,0,0.437756,646.168427,1992.664057,578.290589,849.965777,2982.308138,1.000000,3.066322
0409,"14_1_0,18_2_0,18_0_0","18_1_0,14_2_0,14_0_0",20,927620182,0.214,0.194,0.196,0.396,0,0.312808,3.740003,3.755341,0.000100,0.000100,3.031016,1.000000,0.893566
0410,"11_0_0,1_0_0","9_0_0,2_0_0",23,888456527,0.384,0.179,0.304,0.133,0,1.226293,3.738316,2.421445,0.000100,1.661283,14.235557,1.000000,1.337152
0411,"9_0_0,1_0_0,14_0_0","11_0_0,2_0_0,18_0_0",23,319851918,0.218,0.314,0.234,0.234,0,0.635704,6129.988263,17737.328399,3692.557604,3110.590811,9434.818319,1.000000,1.140110
0412,"15_0_0,18_0_0,1_0_0,11_0_0","22_0_0,14_0_0,2_0_0,9_0_0",25,268521872,0.205,0.253,0.253,0.290,0,1.206002,1.773154,5.865861,5.046849,0.374259,7.255455,1.000000,0.977177
0413,"14_0_0,2_0_0,1_1_0","18_0_0,1_0_0,2_1_0",22,857471291,0.203,0.278,0.217,0.302,0,0.597432,1.930093,64.493225,18.637022,43.430221,97.133415,1.000000,0.532990
0414,"18_0_0,1_0_0,9_0_0","14_0_0,2_0_0,21_0_0",20,893367615,0.422,0.078,0.238,0.262,0,0.670241,6.541118,2.588168,0.000100,1.731683,23.842287,1.000000,0.874541
0415,"11_1_0,14_0_0,14_0_0","9_1_0,24_0_0,18_0_0",21,648763,0.274,0.187,0.156,0.383,0,0.502120,3.822622,7.057323,3.314304,3.710988,5.824155,1.000000,0.668889
0416,"23_0_0,18_0_0,24_0_0,1_0_0,11_0_0","17_0_0,14_0_0,20_0_0,2_0_0,9_0_0",24,567995236,0.415,0.085,0.195,0.305,0,1.447579,1.461945,1.919750,0.688639,0.000100,8.859165,1.000000,1.628336
0417,"18_0_0,22_2_0,4_0_0","14_0_0,15_2_0,7_0_0",24,265849059,0.251,0.199,0.273,0.277,0,1.317018,8430.303523,29757.395957,2543.123842,2972.263253,21755.714455,1.000000,2.050557
0418,"18_0_0,18_3_0,1_0_0,11_1_0,11_0_0,24_3_0","14_0_0,14_3_0,2_0_0,9_1_0,9_0_0,20_3_0",22,859127195,0.340,0.129,0.215,0.316,0,0.431113,3.184254,2.307167,0.047478,2.676481,8.829725,1.000000,2.419693
0419,"15_0_0,18_0_0","22_0_0,14_0_0",24,47168576,0.285,0.151,0.254,0.310,0,6.236434,3.089885,3.902787,2.170851,0.596197,6.723713,1.000000,1.750898
0420,"18_0_0,21_0_0,21_0_0,11_1_0,1_0_0","14_0_0,11_0_0,9_0_0,9_1_0,2_0_0",21,326047904,0.383,0.152,0.232,0.232,0,0.376857,12.697931,20.596261,1.309702,4.013011,7.064983,1.000000,2.167087
0421,"23_0_0,2_0_0,14_0_0","17_0_0,1_0_0,18_0_0",14,4013113,0.296,0.208,0.221,0.275,0,0.345888,9.961758,26.657536,15.266356,5.768197,31.152833,1.000000,0.508181
0423,"1_0_0,14_1_0","2_0_0,18_1_0",20,124442463,0.378,0.179,0.216,0.227,0,0.267717,14.971806,8.806316,2.920073,3.353822,18.483017,1.000000,2.016987
0424,"18_0_0,11_0_0","14_0_0,9_0_0",22,278470173,0.362,0.179,0.203,0.256,0,0.896416,6.987306,5.240780,0.478634,4.014528,12.723634,1.000000,1.001038
0425,"21_2_0,21_2_0,15_0_0,18_0_0,11_0_0,11_0_0","9_2_0,11_2_0,22_0_0,14_0_0,9_0_0,21_0_0",21,249471541,0.489,0.164,0.166,0.181,0,0.621191,0.678933,2.054243,0.244563,1.477586,3.053058,1.000000,1.296386
0426,"18_2_0,11_0_0","14_2_0,9_0_0",25,731436402,0.295,0.158,0.167,0.380,0,0.664134,2.131039,1.024110,0.268397,1.574123,2.299599,1.000000,1.105515
0427,"18_0_0,11_0_0,11_0_0","14_0_0,9_0_0,21_0_0",25,320017346,0.326,0.210,0.243,0.221,0,1.265262,4.056218,7.150243,1.175776,0.000100,3.942265,1.000000,1.096636
0428,"1_0_0,14_0_0","2_0_0,18_0_0",20,19312911,0.257,0.234,0.163,0.346,0,0.797089,1.691275,5.700421,0.804448,2.736148,3.581391,1.000000,0.321049
0429,"9_2_0,2_1_0,11_0_0,4_0_0","11_2_0,1_1_0,9_0_0,7_0_0",22,214339482,0.383,0.229,0.177,0.211,0,0.741314,10.632267,11.190169,9.169542,2.640682,20.970882,1.000000,2.596064
0430,"6_1_0,18_0_0,21_0_0,21_0_0","6_0_0,14_0_0,11_0_0,9_0_0",20,370683572,0.268,0.222,0.179,0.330,0,0.322653,2779.715198,6061.966766,1849.593752,597.195615,3386.336409,1.000000,2.781084
0431,"25_0_0,15_0_0,21_0_0,21_0_0,1_0_0,4_0_0","4_1_0,22_0_0,11_0_0,9_0_0,2_0_0,7_0_0",22,291570354,0.347,0.114,0.286,0.253,0,0.594358,5.385090,4.886841,1.744132,0.634819,15.117324,1.000000,2.606958
0432,"23_2_0,21_1_0,21_1_0,1_0_0,11_0_0","17_2_0,11_1_0,9_1_0,2_0_0,9_0_0",21,459624990,0.284,0.381,0.136,0.199,0,0.650692,192.248592,3119.729090,1328.496152,1556.614257,2962.943539,1.000000,2.408980
0433,"18_0_0,11_0_0","14_0_0,9_0_0",18,26340426,0.314,0.246,0.205,0.235,0,0.277356,3.283655,3.851665,1.621771,0.000100,3.454842,1.000000,1.964884
0434,"18_0_0,3_2_0,11_0_0","14_0_0,3_0_0,9_0_0",22,615979695,0.229,0.198,0.295,0.277,0,0.692058,18.345939,14.772062,3.862523,1.566024,49.021920,1.000000,2.282707
0435,"9_0_0","11_0_0",22,731506346,0.269,0.051,0.246,0.434,1,10.851610,29016.868504,7812.864726,5721.563223,30076.390182,43772.999262,1.000000,1.632164
0436,"4_0_0","7_0_0",24,727754944,0.261,0.198,0.112,0.429,0,1.047690,1.566421,5.030925,0.894195,2.175057,2.249731,1.000000,0.743659
0437,"2_0_0","1_0_0",22,217718531,0.275,0.208,0.155,0.363,0,0.482349,5371.110673,7436.324509,5830.612555,8922.452238,12545.578753,1.000000,0.536427
0438,"1_0_0,11_0_0","2_0_0,9_0_0",14,537782924,0.289,0.315,0.125,0.271,0,0.177443,0.392206,1.973759,0.000100,0.516209,2.272486,1.000000,0.731693
0439,"14_1_0","18_1_0",22,104144326,0.223,0.283,0.183,0.310,0,0.666390,1.646401,1.673026,1.908269,0.846845,2.688339,1.000000,0.914578
0440,"18_0_0,21_0_0,21_0_0,1_0_0,14_1_0","14_0_0,11_0_0,9_0_0,2_0_0,18_1_0",25,723985647,0.405,0.184,0.138,0.272,0,0.768058,25.538309,620.769679,150.475118,220.604253,1231.353146,1.000000,3.357813
0441,"1_0_0","2_0_0",24,383060612,0.204,0.282,0.095,0.419,0,0.665337,2.502516,11.846582,1.644591,3.053616,1.585769,1.000000,1.370367
0442,"18_0_0,2_1_0,1_0_0,11_0_0","14_0_0,1_1_0,2_0_0,9_0_0",24,895930685,0.249,0.212,0.260,0.278,0,0.935679,1.049996,2.810355,1.075578,0.114991,5.481463,1.000000,1.644486
0443,"11_0_0,4_0_0","9_0_0,7_0_0",21,461657763,0.224,0.221,0.245,0.310,0,0.337393,3.263556,5.710954,3.436301,10.362235,8.101572,1.000000,0.984564
0445,"18_0_0,11_0_0,14_1_0","14_0_0,9_0_0,18_1_0",23,843212501,0.298,0.208,0.354,0.141,0,0.687715,7425.936116,2048.562487,2883.537919,806.206479,14497.705059,1.000000,3.368084
0446,"NA","NA",23,431044512,0.269,0.275,0.178,0.278,0,0.445173,2.300329,15.322325,0.540066,2.226860,4.382291,1.000000,1.556448
0447,"1_0_0,9_0_0","2_0_0,11_0_0",18,257262863,0.323,0.120,0.249,0.308,0,0.513926,2015.307361,3933.845194,18.305388,24387.660874,13116.561532,1.000000,0.377818
0448,"14_0_0,2_0_0","18_0_0,1_0_0",23,768988843,0.352,0.203,0.171,0.275,0,0.779960,2.086031,7.138021,1.821885,1.390583,10.446242,1.000000,0.309017
0449,"18_0_0,18_0_0,1_0_0,11_0_0","24_0_0,14_0_0,2_0_0,9_0_0",23,573344946,0.328,0.162,0.237,0.274,0,0.516888,2.463504,4.360998,1.136177,3.292910,8.153069,1.000000,1.190214
0450,"14_0_0,23_0_0,9_0_0,24_0_0,4_0_0","18_0_0,17_0_0,11_0_0,20_0_0,7_0_0",20,558495429,0.528,0.160,0.158,0.154,0,0.815628,0.181802,0.730835,0.112042,0.000100,1.424957,1.000000,0.525960
0451,"18_0_0,11_0_0","14_0_0,9_0_0",22,528488110,0.206,0.202,0.307,0.285,0,0.221881,4.276449,24.491871,0.000100,19.847555,18.412831,1.000000,3.888207
0452,"6_3_0,18_0_0,18_0_0,18_0_0,4_0_0,1_0_0,11_0_0","6_1_0,24_0_0,20_0_0,14_0_0,7_0_0,2_0_0,9_0_0",19,782754642,0.160,0.195,0.246,0.399,0,0.408750,9.451827,10.804323,2.524639,2.062952,5.707246,1.000000,2.501202
0453,"4_0_0,1_0_0,11_0_0","7_0_0,2_0_0,9_0_0",25,555893709,0.170,0.271,0.166,0.393,0,0.795435,4.867142,27.142523,3.128977,3.554738,12.083414,1.000000,1.463643
0454,"19_0_0,18_0_0,11_0_0,14_1_0","22_0_0,14_0_0,9_0_0,18_1_0",24,204462637,0.392,0.188,0.283,0.138,0,1.485473,4.900403,3.022435,3.703595,1.311743,7.410043,1.000000,1.815952
0455,"18_0_0,11_0_0","14_0_0,9_0_0",23,825874458,0.247,0.159,0.273,0.321,0,0.549269,7.025888,8.783218,1.812574,0.140170,13.582547,1.000000,2.687473
0456,"21_2_0,21_2_0,2_1_0,4_0_0,9_0_0,1_0_0","9_2_0,11_2_0,1_1_0,7_0_0,11_0_0,2_0_0",20,698316156,0.355,0.148,0.223,0.273,0,0.350865,5.551701,5.615886,7.811114,0.000100,28.899609,1.000000,2.323191
0457,"14_0_0,2_0_0","18_0_0,1_0_0",22,832065504,0.309,0.251,0.197,0.243,0,0.584085,1.118701,40.391307,9.497171,19.804319,47.528037,1.000000,0.428930
0458,"9_0_0","11_0_0",23,843140123,0.347,0.271,0.280,0.101,0,1.278656,298.684078,2081.518928,1571.615597,1071.998972,3021.656529,1.000000,1.567067
0459,"15_1_0,17_0_0,1_0_0,11_0_0","15_0_0,17_2_0,2_0_0,9_0_0",25,227337622,0.278,0.168,0.278,0.275,0,0.750759,9662.885108,15375.645074,5279.013665,10207.925172,36936.861863,1.000000,1.891111
0460,"18_0_0,11_0_0,1_0_0","14_0_0,9_0_0,2_0_0",23,206640094,0.248,0.065,0.218,0.468,0,1.216590,8890.741482,24532.838609,4788.337533,8443.388191,18726.150070,1.000000,0.743438
0461,"18_0_0,24_0_0,11_0_0,1_0_0","14_0_0,20_0_0,9_0_0,2_0_0",23,809243913,0.442,0.144,0.181,0.233,0,0.835476,0.786945,1.415061,0.229713,0.604384,4.386515,1.000000,0.891067
0462,"9_0_0,9_0_0","6_0_0,25_0_0",21,610412334,0.228,0.218,0.148,0.406,0,2.594658,3.206827,4.198632,0.324635,2.247570,4.194025,1.000000,0.265171
0463,"18_0_0,18_0_0,11_1_0,1_0_0","20_0_0,14_0_0,9_1_0,2_0_0",21,153683104,0.276,0.261,0.077,0.387,0,0.602368,1407.282408,18136.555156,15.017755,12910.576240,3276.989650,1.000000,1.350320
0464,"5_1_0,18_0_0,1_0_0,15_0_0","5_0_0,14_0_0,2_0_0,22_0_0",20,543937853,0.443,0.075,0.185,0.297,0,1.153678,3.935935,3.306706,1.677198,13.305185,12.746438,1.000000,1.289946
0465,"24_1_0,24_1_0,18_0_0,11_0_0,14_1_0","24_0_0,20_0_0,14_0_0,9_0_0,18_1_0",22,632284880,0.265,0.131,0.343,0.261,0,0.704988,17.169367,21.252090,19.786676,12.819559,54.879260,1.000000,4.701151
0466,"9_0_0,14_0_0,4_0_0","11_0_0,18_0_0,7_0_0",21,808962796,0.340,0.154,0.210,0.296,0,0.540341,0.249846,3.145021,0.813710,2.459610,4.431052,1.000000,0.577743
0467,"18_5_0,19_0_0,9_2_0,23_0_0,18_3_0,11_0_0,11_0_0,1_0_0","14_5_0,15_0_0,11_2_0,17_0_0,14_3_0,9_0_0,21_0_0,2_0_0",24,688437720,0.431,0.248,0.157,0.164,0,0.932281,0.541412,1.928874,1.297368,0.469410,7.285314,1.000000,2.946849
0468,"19_0_0,2_0_0","22_0_0,1_0_0",21,593430183,0.300,0.192,0.220,0.288,0,0.812762,4200.724163,6573.427937,16105.727656,6146.745262,27874.660651,1.000000,1.208009
0469,"18_0_0,2_2_0,11_0_0","14_0_0,1_2_0,9_0_0",22,725816935,0.334,0.163,0.272,0.230,0,0.448179,3.631732,2.528295,0.000100,2.544824,5.734979,1.000000,1.951663
0470,"9_0_0,14_0_0,10_0_0","11_0_0,18_0_0,5_0_0",20,367630016,0.340,0.227,0.147,0.287,0,0.425658,0.571345,4.959157,0.606496,3.810203,2.004987,1.000000,0.636130
0471,"15_1_0,21_1_0,11_0_0,1_0_0","22_1_0,11_1_0,9_0_0,2_0_0",19,49092985,0.320,0.158,0.273,0.248,0,0.571827,11.669078,6.219614,0.014610,1.551562,15.242176,1.000000,0.674210
0472,"1_0_0,11_0_0","2_0_0,9_0_0",23,518243649,0.388,0.167,0.280,0.165,0,0.636876,2.282988,6.194263,5.632858,2.034957,19.862266,1.000000,1.143877
0473,"14_0_0,1_0_0,4_0_0","18_0_0,2_0_0,7_0_0",24,570022734,0.450,0.140,0.196,0.214,0,1.279518,0.553045,0.687791,0.691453,1.331007,1.196305,1.000000,0.676479
0474,"9_0_0,25_0_0,2_0_0","11_0_0,19_0_0,1_0_0",21,552903531,0.354,0.203,0.106,0.337,0,1.383158,4620.144421,12533.251327,918.556590,0.000100,6463.538732,1.000000,0.387254
0475,"18_0_0,16_0_0,11_0_0","14_0_0,16_2_0,9_0_0",23,798218439,0.282,0.149,0.187,0.382,0,0.646788,3.649927,8.180353,0.788531,2.501902,5.121358,1.000000,1.105596
0476,"11_0_0,11_0_0,1_0_0","9_0_0,21_0_0,2_0_0",19,559435345,0.358,0.122,0.285,0.235,0,0.285984,141.074821,107.424527,13.700519,55.350263,428.911713,1.000000,0.970490
0477,"18_0_0,1_0_0","14_0_0,2_0_0",24,398924187,0.374,0.277,0.176,0.173,0,1.207927,0.794167,2.645226,0.757857,0.336304,2.460835,1.000000,0.949326
0478,"18_0_0,11_0_0,11_0_0,11_1_0,1_0_0","14_0_0,9_0_0,21_0_0,9_1_0,2_0_0",23,97000812,0.268,0.219,0.317,0.196,0,0.643875,36.748433,89.694991,118.880158,38.006742,161.439974,1.000000,2.853975
0479,"2_1_0,4_0_0,11_0_0,1_0_0","1_1_0,7_0_0,9_0_0,2_0_0",23,882106092,0.374,0.148,0.192,0.286,0,0.664103,9.648676,8.950065,4.548831,10.867088,31.361660,1.000000,0.968966
0480,"19_0_0,18_0_0,11_0_0","19_1_0,14_0_0,9_0_0",21,261627946,0.402,0.111,0.263,0.225,0,0.681121,367.857062,1939.490249,1896.578236,3777.479244,7533.437532,1.000000,1.031093
0481,"2_0_0,14_0_0","1_0_0,18_0_0",17,298231659,0.474,0.111,0.331,0.083,0,0.590314,31.842226,9.387091,0.668498,0.000100,39.953689,1.000000,0.338604
0482,"16_0_0,18_0_0,15_0_0,9_0_0","8_0_0,14_0_0,22_0_0,11_0_0",19,889685694,0.371,0.088,0.314,0.227,0,1.855629,7.042842,3.739280,1.179179,6.571164,20.183730,1.000000,0.459384
0483,"18_0_0,11_0_0","14_0_0,9_0_0",20,292005842,0.243,0.238,0.152,0.366,0,0.338133,2.047941,4.230289,1.137724,0.000100,4.744536,1.000000,1.213085
0484,"9_0_0,9_0_0,23_0_0","21_0_0,11_0_0,17_0_0",25,274853785,0.440,0.148,0.174,0.238,0,0.850337,1213.237739,2190.487551,105.641902,0.000100,1739.405147,1.000000,0.761054
0485,"9_2_0,18_0_0,11_0_0,1_0_0,4_0_0","11_2_0,14_0_0,9_0_0,2_0_0,7_0_0",23,597073533,0.232,0.124,0.212,0.432,0,1.290138,8.246991,14.379324,1.490838,0.000100,12.454029,1.000000,1.666053
0486,"18_2_0,18_2_0,13_1_0,11_0_0","18_0_0,14_2_0,13_0_0,9_0_0",22,891607376,0.306,0.171,0.265,0.258,0,0.961527,6.502550,12.110402,3.835271,0.000100,11.200742,1.000000,1.232378
0487,"18_2_0,18_0_0,11_0_0,4_0_0","14_2_0,14_0_0,9_0_0,7_0_0",23,388095321,0.265,0.201,0.147,0.388,0,0.524037,1048.196342,5304.198932,1093.951699,1714.041171,2530.395346,1.000000,3.223318
0488,"1_0_0,20_0_0","2_0_0,24_0_0",24,564915069,0.329,0.071,0.234,0.366,0,1.613173,49.861790,4.232231,0.117732,0.000100,12.876707,1.000000,0.327963
0489,"15_1_0,15_1_0,15_1_0,4_1_0,4_1_0,4_1_0,4_1_0,4_1_0,4_1_0,4_1_0,21_1_0,21_1_0,4_0_0,11_0_0","12_1_0,19_1_0,6_1_0,4_2_0,25_0_0,7_2_0,8_0_0,2_0_0,7_1_0,21_0_0,11_1_0,9_1_0,7_0_0,9_0_0",21,725275290,0.371,0.107,0.149,0.373,0,0.708657,0.530113,4.055844,0.030341,0.000100,1.772214,1.000000,0.579888
0490,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",22,370897992,0.390,0.145,0.210,0.255,0,0.414454,1.068210,3.575622,0.677567,0.717921,3.309504,1.000000,1.394028
0491,"18_3_0,16_1_0,11_0_0","14_3_0,16_0_0,9_0_0",20,106979321,0.284,0.199,0.210,0.308,0,0.250130,9.774301,5.478496,0.000100,4.089895,9.022684,1.000000,3.606702
0492,"18_0_0,2_1_0,11_0_0,4_0_0","14_0_0,1_1_0,9_0_0,7_0_0",22,849253617,0.423,0.272,0.143,0.162,0,0.752208,2.315137,9.383338,1.628317,1.814379,7.492720,1.000000,1.284089
0493,"1_0_0","2_0_0",22,939981117,0.261,0.166,0.267,0.306,0,0.730789,18.531492,10.431220,6.217392,9.033468,17.762097,1.000000,1.462990
0494,"23_0_0,23_0_0,1_0_0,16_0_0,11_0_0","17_0_0,17_3_0,2_0_0,16_2_0,9_0_0",19,121324130,0.391,0.224,0.145,0.240,0,0.297196,512.319685,457.201374,0.000100,0.000100,1938.238152,1.000000,1.319736
0495,"23_0_0,9_0_0,2_0_0","17_0_0,11_0_0,1_0_0",23,325321013,0.305,0.164,0.295,0.236,0,0.692355,7.507612,5.643185,2.297881,0.832741,9.791184,1.000000,0.568444
0496,"15_0_0,22_2_0,11_1_0","22_0_0,15_2_0,9_1_0",19,573198862,0.375,0.128,0.370,0.127,0,0.792956,165744.043628,175063.131269,242876.182054,265053.785199,999900.000000,1.000000,0.839255
0497,"11_0_0","9_0_0",23,582205308,0.276,0.132,0.303,0.289,0,0.462277,552.556412,572.004170,174.234185,673.799689,1473.367036,1.000000,1.514414
0498,"18_2_0,18_0_0,21_0_0,21_0_0,20_4_0,24_3_0","14_2_0,14_0_0,11_0_0,9_0_0,20_2_0,20_3_0",20,603779584,0.363,0.209,0.145,0.283,0,0.339114,668.834323,1956.198560,1102.492239,1395.084876,2924.753401,1.000000,1.402576
0499,"4_1_0,11_1_0,11_0_0","7_1_0,9_1_0,9_0_0",20,857461273,0.450,0.190,0.173,0.187,0,0.483095,0.712526,0.791765,0.627631,1.524077,2.168916,1.000000,2.030380
0500,"1_0_0,11_0_0","2_0_0,9_0_0",22,197882088,0.328,0.208,0.155,0.309,0,1.115867,16.536767,40.042589,12.824043,25.290470,39.848084,1.000000,1.013360
0501,"18_0_0,11_0_0,4_0_0","14_0_0,9_0_0,7_0_0",19,578004534,0.254,0.308,0.214,0.225,0,0.382375,0.000100,6.728900,3.125975,1.502755,5.848801,1.000000,1.216966
0502,"1_0_0,4_0_0","2_0_0,7_0_0",22,723388252,0.260,0.180,0.215,0.345,0,0.612854,2.676713,8.927932,0.914886,1.264850,1.636883,1.000000,1.270651
0503,"18_0_0,18_3_0,22_1_0,1_0_0","14_0_0,14_3_0,22_0_0,2_0_0",19,624697812,0.190,0.360,0.292,0.158,0,0.636175,0.797721,2.589277,3.992511,0.467430,5.798635,1.000000,1.134943
0504,"18_0_0,2_1_0,1_0_0","14_0_0,1_1_0,2_0_0",21,556393539,0.343,0.245,0.068,0.345,0,0.770885,0.242676,2.558407,0.159978,0.869233,1.765759,1.000000,0.858508
0505,"18_0_0","14_0_0",22,220246159,0.342,0.180,0.215,0.264,0,0.449055,2051.323957,1796.853278,0.000100,2916.682954,4961.736029,1.000000,1.134324
0506,"11_0_0,4_0_0","9_0_0,7_0_0",25,873286579,0.305,0.263,0.185,0.247,0,1.428031,71.255752,134.041640,3.129361,29.021713,68.782409,1.000000,1.280453
0507,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",23,78292880,0.242,0.303,0.233,0.223,0,0.637715,1658.465759,7339.790502,1552.986063,7058.840924,9845.213179,1.000000,5.535467
0508,"11_0_0,14_1_0,4_0_0","9_0_0,18_1_0,7_0_0",25,935108450,0.271,0.258,0.241,0.230,0,0.693953,18.720451,37.352426,2.187847,2.898660,38.210248,1.000000,2.631693
0509,"12_1_0,23_0_0,18_0_0,4_0_0,11_0_0","21_0_0,17_0_0,14_0_0,7_0_0,9_0_0",20,877871235,0.307,0.218,0.152,0.323,0,0.715987,0.419024,1.006396,0.698218,0.646544,2.153557,1.000000,0.782726
0510,"18_0_0,1_0_0,11_0_0,4_0_0","14_0_0,2_0_0,9_0_0,7_0_0",24,636979120,0.347,0.255,0.255,0.143,0,1.575588,13.872611,17.665466,5.285703,3.818570,13.094623,1.000000,1.270043
0511,"18_0_0,23_2_0,4_0_0,1_0_0,11_1_0,11_0_0","14_0_0,17_2_0,7_0_0,2_0_0,9_1_0,9_0_0",21,667338259,0.457,0.070,0.159,0.314,0,1.358483,9.127444,1.960871,0.350035,7.697109,5.410050,1.000000,1.841095
0512,"14_0_0","18_0_0",18,7671318,0.268,0.145,0.277,0.311,0,0.291048,2911.428505,7094.571980,3677.839971,5450.042841,7376.442993,1.000000,0.436734
0514,"9_0_0,1_0_0","11_0_0,2_0_0",19,975342117,0.390,0.175,0.295,0.140,0,0.462837,0.511001,1.486898,0.000100,0.889223,2.703779,1.000000,0.857116
0515,"19_0_0,19_0_0,19_0_0,18_0_0","19_1_0,15_0_0,22_0_0,14_0_0",21,665260261,0.466,0.163,0.186,0.185,0,0.591823,1.608727,1.898715,0.000100,3.079620,7.989189,1.000000,0.967468
0516,"19_0_0,4_1_0,18_0_0,11_0_0","15_0_0,7_1_0,14_0_0,9_0_0",23,508612316,0.287,0.190,0.231,0.292,0,0.784055,0.785461,1.574215,0.062942,1.021440,2.646138,1.000000,0.900150
